,company,location,main_sector,subsector,primary,description
714,Institut Químic de Sarrià (IQS),"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,University,,"IQS – Institut Químic de Sarrià contributes to scientific and technological innovation and delivers university education in the fields of Chemistry, Biotechnology, Engineering, Pharmacy and Management. The institution manages two schools of the Ramon Llull University, IQS School of Engineering and IQS School of Management."
715,Institute of Environmental Assessment and Water Research (IDAEA-CSIC),"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,Institute,,"Analysis of organic pollutants and metals of environmental or toxicological concern present in air, water, sediments, soils, organisms and in human fluids, serum, urine, hair, exhaled breath. This involves a large diversity of studies for the analysis of polar and apolar organic compounds, by means of gas and liquid chromatography and mass spectrometry, including orgahohalogen compounds, plastic derivatives, organophosphate pesticides, pyrethroids, glyphosate and their metabolites, volatile organic compounds. Databases on the occurrence of these pollutants in human populations are available."
716,Instituto de Dermatologia Ignacio Umbert,"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,Private clinic,,Institute of Dermatology I. Umbert is a medical center in dermatology. The Institute's goal is to make a medicine that integrates all those aspects of a person's life that affect their health and that end up being the cause of diseases.
717,Integra Therapeutics,"Barcelona, Barcelona",Biotechnology - Therapeutics and Diagnostics,Gene therapy,"Congenital or chromosomal abnormalities; Diseases of the nervous system; Musculoskeletal system, connective tissue",Integra Therapeutics is a biotechnology company that is creating next-generation gene writing tools to make advanced therapies safer and more effective. The company was founded in 2020 as a spin-off of Pompeu Fabra University (UPF) by Dr Marc Güell and Dr Avencia Sánchez-Mejías and is based at the Barcelona Biomedical Research Park (PRBB).
718,INTERmedic,"CERDANYOLA DEL VALLES, Barcelona",Medical Technology,Other; Diagnostic and therapeutic radiation devices; Ophthalmic and optical devices,,"INTERmedic is a developer and manufacturer of laser, light-based and ultrasound platforms for surgical and medical use. The company's products are used in the segments of vascular surgery, traumatology, neurosurgery, ophthalmology, urology and podiatry."
719,Internet i Innovació Digital a Catalunya (i2CAT),"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,Institute,,"i2CAT Foundation is a non-profit research and innovation centre which promotes mission-oriented R+D+i activities on advanced Internet architectures, applications and services. The centre stands up for a new open innovation framework, fostering the collaboration between companies, public administration, the academic environment and end-users."
720,Interpharma,"Santa Coloma de Gramanet, Barcelona",Pharma,Generics; Other,,"Interpharma is a private company engaged in the manufacture of pharmaceuticals, cosmetics, pediculicides, vitamins, and food supplements. The company offers a wide range of brands on the market such as Lotigen, Forbald, Aspolvit, Erosil, Kife, Tiagen, Sorigen, among many other products."
721,"Interquim (HQ, Sant Cugat del Valles)","Sant Cugat del Vallés, Barcelona",Supplier &amp; Engineering,APIs and excipients,,"Interquim, s.a. is a Ferrer HealthTech division and manufactures active ingredients for the pharmaceutical industry. The company's business is based on developing highly competitive processes for the manufacture of high added-value active pharmaceutical ingredients that meet the strictest quality specifications."
722,Invacare,"Celrà, Girona",Supplier &amp; Engineering,Medical devices,,Invacare is a company specialized in distribution of rehabilitation products. The company provides wheelchairs and rehabilitation products for people with disabilities.
723,Invelon Technologies,"Lleida, Lleida",Medical Technology,Other; Hospital hardware,,INVELON is a technology consultancy that applies the latest augmented and virtual reality technologies. Our mission is to accompany the industry in the implementation of immersive and/or virtual technologies.
724,Inveniam Group,"Barcelona, Barcelona",Professional Services and Consulting,Technology transfer,,"Inveniam is a transaction and strategy advisory firm, with a strong focus in technology-based deals in life sciences and resource sustainability. Inveniam’s vision is to bridge the gap between technology originators and the market."
725,INVESA,"Cerdanyola del Vallès, Barcelona",Biotechnology - other,Veterinary,,"Industrial Veterinaria SA (INVESA) develops, manufactures, and distributes animal health products. The company offers antibiotics, nutritionals, anti-inflammatory drugs, and antiparasitics. INVESA serves customers throughout Spain."
726,Invintia,"Barcelona, Barcelona",Professional Services and Consulting,Other; Business development; Management consulting,,Invintia is a business strategy consulting company. The company specializes in helping other companies to transform their business model either renovating the existing or creating new ones to replace or supplement the current.
727,Invivo Ventures,"Barcelona, Barcelona",Investors,Venture capital fund,,"Invivo Capital Partners is a venture capital company specialized in early-stage projects in the healthcare sector- biotech, medical devices and e-Health. The company also focuses on biotechnology drug development in advanced therapeutics and medical device."
728,Iomed Medical Solutions,"Castelldefels, Barcelona",Digital Health,E-Medical Record / E-health Record; Medical Big Data &amp; analytics; Population Health Management; Predictive Analytics,,"IOMED Medical Solutions provides software tools for medical doctors for the structuring of clinical data and the generation of artificial intelligence tools based on this data. The company offers the software for doctors for creating medical records, reducing the interaction with the computer. Through this the doctors can perform complex searches, understand the profile of a patient through visualizations, and perform analysis at an individual or collective level."
729,IP Triana,"Barberá del Vallés, Barcelona",Supplier &amp; Engineering,Packaging &amp; labeling,,"IP Triana is dedicated to the manufacture of plastic packaging by injection and its subsequent printing. The company manufactures products for the pharmaceutical, food, phytosanitary and general consumer products. The products include printed tubes for medicines, talquers and dispensers for powders and / or granulates, as well as dosage articles for the pharmaceutical sector. The company also manufacture custom plastic pieces, according to the needs of each client."
730,IPB Consulting,"Barcelona, Barcelona",Professional Services and Consulting,Other,,"IPB is a company focused in the design and building-up of pharmaceutical plants, supplying services in the field of Engineering and Architecture."
731,Ipsen Pharma,"SANT FELIU DE LLOBREGAT, Barcelona",Supplier &amp; Engineering,Distributors,,"Ipsen Pharma S.A is a pharmaceutical company based in Barcelona, ​​belonging to the Ipsen Group, which provides specialized medical solutions for specific diseases with the aim of improving the quality of life. The company is principally focused on the development and marketing of drugs in urology, neurology, oncology, gynecology, etc. The company also focuses on primary care therapeutic products development and commercialization for the use in gastroenterology, cardiovascular problems and cognitive disorders."
732,IQVIA,"Barcelona, Barcelona",Biotechnology / R&amp;D Services,CRO (Contract Research Organization),,"IQVIA is a provider of information, innovative technology solutions and contract research services focused on using data and science to help healthcare clients find better solutions for their patients. IQVIA help biotech, medical device and pharmaceutical companies, medical researchers, government agencies, payers and other healthcare stakeholders tap into a deeper understanding of diseases, human behaviors and scientific advances, in an effort to advance their path toward cures."
733,Irideon,"Barcelona, Barcelona",Supplier &amp; Engineering,Electronics,,Irideon provides technical consultancy services and solutions to SMEs and research organizations throughout Europe. They have created an intelligent sensor that identifies mosquito-transmitting diseases.
734,iSalud,"Barcelona, Barcelona",Digital Health,Payments &amp; Insurance,,"iSalud Health Services, SL offers health insurance brokerage services. The company offers isalud.com, a web portal in health insurance sales. The company works with the insurance companies and offer personalized and free advice."
735,iSalus,"Mataró, Barcelona",Professional Services and Consulting,IT services,,"iSalus is a technology Consulting company in the healthcare sector. The mission of iSalus is to facilitate the daily management of health professionals in every part of the world, in order to maximize efficiency in their work and the profitability of their activity. In addition, the company offers advanced computer services that guarantee the comprehensive management of information technologies in healthcare centers, from accommodation and security to the development of customized applications. The company is also specialized in integrations between different information systems or medical devices."
736,Isdin,"Barcelona, Barcelona",Pharma,Other,,Digestive system; Infectious and parasitic diseases; Skin and subcutaneous tissue
737,Isensi,"Sabadell, Barcelona",Medical Technology,Technical aids for disabled persons,Diseases of the nervous system,ISENSI specialises in developing innovative solutions that improve the everyday lives of people with reduced mobility through sensory stimulation and the benefits of water therapy.
738,ISERN Medical Telecom,"Vic, Barcelona",Professional Services and Consulting,IT services,,"ISERN is a company specialized in the provision of telecommunications services specifically for hospital rooms, in two areas: access to the HIS from the room for professionals and entertainment and telecommunications for the patient."
739,Isoquimen,"SANT FELIU DE CODINES, Barcelona",Biotechnology / R&amp;D Services,CRO (Contract Research Organization),,"Isoquimen is a GLP certified pre-clinical CRO specialized in the in vivo part of Research projects with rodents, cats and dogs. The company is also a Laboratory Animal Breeder of SPF &amp; Conventional Beagle Dogs and Cats."
740,Isotope-Ratio Mass Spectrometry Laboratory (UAB),"BELLATERRA, Barcelona",Public / Non-profit organizations / Medical facilities,Other; Research facility,,"Stable Isotope Analysis Laboratory (IRMS)'s objective is to provide mainly a service to researchers of the UAB and its campus, to make measurements of isotopic relations of carbon, nitrogen, hydrogen, oxygen and sulfur in matrices and organic, carbonate and water compounds. The service is also open to anyone outside the UAB."
741,Itnig,"Barcelona, Barcelona",Professional Services and Consulting,Business development; Management consulting,,"Itnig is a startup builder of internet companies. The company invests in startups with own resources and provide startups and teams with space, services and events."
742,IUL,"Barcelona, Barcelona",Supplier &amp; Engineering,Instrumentation,,"IUL provides instruments for a more comfortable, reliable, and safe microbiological control for the industry and provides devices for in-vitro diagnostics in the field of human and animal health. IUL has 4 main divisions, focusing all of them on innovating in the biosanitary field (microbiology, diagnostics, veterinary and OEM projects)."
743,iVascular,"Sant Vicenç dels Horts, Barcelona",Medical Technology,Delivery devices; Single use devices,Cardiovascular,"iVascular SLU develops medical devices and therapies for the treatment of disorders of the cardiovascular system. The company possesses and develops products based on the technologies including microextrusion, electropolishing, laser cutting, thermocrimping, drug coating, rapid prototyping, injection moulding, and a long etcetera, in order to control all the aspects of the manufacturing process."
744,IVFtech (Barcelona),"Barcelona, Barcelona",Biotechnology / R&amp;D Services,Diagnostic instrumentation,"Pregnancy, childbirth and the puerperium","IVFtech ApS is the market leader within development, manufacturing and sales of innovative and well designed IVF equipment."
745,Izasa Hospital,"Hospitalet de Llobregat,l', Barcelona",Supplier &amp; Engineering,Distributors; Medical devices,,"Izasa Hospital is a distribution company for the hospital sector. The company's structure is based on product specialization and the company is composed of the following divisions: clinical specialties, treatment blood, interventions and surgery, radiology and surgery and endoscopy technical service."
746,Izasa Scientific,"Barcelona, Barcelona",Supplier &amp; Engineering,Instrumentation; Laboratory equipment; Medical devices,,"Izasa Scientific provides solutions for analytical, life sciences, optical microscopy, electronic microscopy, nanotechnology and environmental and industrial quality control areas. The company deploys not only instrument solutions, but also application consultancy and after sales support."
747,Jardemon,"Sant Boi de Llobregat, Barcelona",Supplier &amp; Engineering,Packaging &amp; labeling,,"Jardemon S.L offers primary packaging materials suitable for use in the pharmaceutical, cosmetic and food industries. The company's products include PVC, PVDC films, CFF Foils, Bag containers, etc."
748,JAUSAS,"Barcelona, Barcelona",Professional Services and Consulting,Legal services,,"Fieldfisher JAUSAS is a multidisciplinary law firm, which delivers practical, pragmatic advice in the legal standard practice areas (Corporate and Business, Litigation, Restructuring &amp; Insolvency, Tax, Labour) as well as in knowledge-specific areas of practice such as Cinema, Business Law, Competition, Distribution &amp; Franchising, Family business, Life Sciences, M&amp;A, TMT, Intellectual and Industrial Property, Public Law and Real Estate."
749,JG Ingenieros,"Barcelona, Barcelona",Supplier &amp; Engineering,Laboratory engineering,,"JG Ingenieros S.A. is an independent team of professionals offering engineering services in the construction sector, especially in the field of electrical and mechanical installations, energy, operation and maintenance engineering and environmental consulting."
750,Johnson &amp; Johnson (Barcelona),"Barcelona, Barcelona",Supplier &amp; Engineering,Other; Medical devices,,"Johnson &amp; Johnson Barcelona distributes the healthcare products of the parent company which operates in three segments: Consumer, Pharmaceutical, and Medical Devices and Diagnostics."
751,JP Selecta,"ABRERA, Barcelona",Supplier &amp; Engineering,Laboratory equipment,,Jp Selecta SA manufactures and distributes laboratory equipment and scientific instruments. The company also conducts research in product development and markets its products throughout Spain and Western Europe.
752,Jub Solutions,"Granollers, Barcelona",Digital Health,Other,,"JUB Solutions is an international company, with global presence dedicated to the development and manufacture of innovative products and solutions, technological and software, in the health field and especially for blood banks. With safety and patient care as the main objective, the company use technology to respond to the needs of health professionals."
753,Just Global,"Lleida, Lleida",Biotechnology - other,AgBio; Environmental,,Just Global specializes research and development of products in the area of agricultural biotechnology and biochemistry.
754,Kamleon,"Tarragona, Tarragona",Digital Health,Remote Monitoring,,Kamleon is a science-based early-stage company developing user-centered technologies that aims to empower healthier and happier lives by democratizing the monitoring of well being. Kamleon is a spin-off of Universitat Rovira i Virgili (URV).
755,Keiretsu Forum Spain,"Barcelona, Barcelona",Investors,Business angel,,"Keiretsu Forum is an international association of private investors, business leaders and entrepreneurs, who organize themselves into a capital forum to finance small and medium growing enterprises. Keiretsu Forum Spain provides its members a platform to interact and find investment opportunities in companies with high growth potential in all sectors (technology, clean energy, health sciences, consumer products, and other)."
756,Kemtia,"Montcada i Reixac, Barcelona",Biotechnology - other,Food; Nutraceuticals,,"Kemtia is a brand emerged from Productos Aditivos S.A., formerly part of the different divisions inside the company. The company develops and manufactures powder blends with as simple as two ingredient premixes to multiple nutrients and functional ingredients premixes."
757,Kereon Partners,"Barcelona, Barcelona",Investors,Venture capital fund,,"Kereon Partners is a Venture Capital investor in participations in business projects, restructuring and in support of entrepreneurs that brings together the capabilities of 5 professional partners with complementary profiles and incorporates the financial capacity of an investment group."
758,Kern Pharma,"Terrassa, Barcelona",Pharma,Anti-infectives; Biosimilars; Generics; Other,Cardiovascular; Digestive system; Diseases of the nervous system; Infectious and parasitic diseases; Mental and behavioural disorders; Respiratory; Skin and subcutaneous tissue,"Kern Pharma is engaged in the development, manufacturing and marketing of generic medicinal products. The company adds investment in R &amp; D &amp; i to its growth strategy with the aim of generating and maintaining an optimized product portfolio that allows it to cover current and future market needs."
759,Kintsugi Therapeutics,"Barcelona, Barcelona",Biotechnology - Therapeutics and Diagnostics,Peptides; Proteins,"Endocrine, nutritional, metabolic diseases",Kintsugi Therapeutics is a Barcelona based preclinical-stage biopharmaceutical company focused on the development of innovative therapies targeting ER stress for the treatment of NASH and other pathologies.
760,Kiversal,"Barcelona, Barcelona",Medical Technology,Diagnostic Devices,Diseases of the ear,"Kiversal is specializing in the design, manufacture and certification of medical devices with Internet connectivity. The company has developed a digital audiometer, with Internet connectivity, easy to use and portable that speeds up the entire medical procedure."
761,Kivnon,"Santiga, Barcelona",Supplier &amp; Engineering,Electronics; Laboratory equipment; Precision mechanics,,"We are a technology company focused on Industry 4.0, where we use the most advanced technology to create a pleasant, simple and intuitive work experience."
762,K-LAGAN,"Barcelona, Barcelona",Professional Services and Consulting,IT services,,"K-LAGAN is a national and international strategic engineering company and technological and industrial consultancy, born in 2007. Our aim is to support companies in different market sectors through all the phases of analysis needed for the start-up of projects, using state-of-the-art technologies."
763,Knowledge Innovation Market (KIM),"Barcelona, Barcelona",Professional Services and Consulting,Business development; Deal arranger; Operations/Health &amp; safety/Purchasing; Valuation; Technology transfer; Drug Development Consulting,,"Kim Global is an international company which seeks to align the expectations of industry and research and technological centers to exploit the opportunities of Open Innovation. The company helps other companies, research centers, investors and public administrations to improve the return on their R&amp;D investments."
764,Koa Health,"Barcelona, Barcelona",Digital Health,Telehealth; Predictive Analytics,Mental and behavioural disorders,"Koa Health, spin-out from Telefonica, is a digital mental health company bringing high quality mental healthcare to people around the world."
765,Korhispana,"Reus, Tarragona",Supplier &amp; Engineering,Distributors,,Korhispana is a pharmaceutical company which develops generic drugs.
766,KPMG,"Hospitalet de Llobregat,l', Barcelona",Professional Services and Consulting,Other; Business development; Financial services; Management consulting,,"KPMG delivers a broad range of audit, tax and advisory services to meet the unique needs of healthcare policy-makers, providers and payers. KPMG offers statutory auditing, financial and attestation reporting, business and personal tax planning, risk advisory, and strategic management services."
767,Krei,"Tarragona, Tarragona",Biotechnology - other,AgBio; Nutraceuticals,,"The KREI method is the analysis that grants the identification and individualization of a cannabis sample. Extracting the fingerprint from an unknown Cannabis sativa L. sample, KREI permits forensic identification and attains the traceability of the strain. KREI deals with how to collect and use DNA samples and how to retain the derived information in a database establishing a DNA databank."
768,Kuhner Shaker,"Terrassa, Barcelona",Supplier &amp; Engineering,Other; Distributors; Laboratory equipment,,"Kuhner Shaker S.A. is a developer and manufacturer of shaking machines for the international market. The company develops and manufactures shakers and also offers a personal service for customers, including product information and support, free applications advice as well as on-site visits."
769,KUKA IBERIA (Barcelona),"Vilanova i la Geltrú, Barcelona",Supplier &amp; Engineering,Production engineering,,"Global leaders in intelligent automation solutions, both at the Augsburg headquarters and around the world. Our international customers come from, among others, the automotive and general industries. At KUKA we are total suppliers: we provide you with both individual components and fully automated systems."
770,La Salle Technova Barcelona,"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,Science / Technology park,,"La Salle Technova Barcelona is an incubator for innovative technology start-ups. The company offers end-to-end services such as business plan building, funding, acceleration, technology development, office space, etc."
771,LabClinics,"Barcelona, Barcelona",Supplier &amp; Engineering,Other; Distributors; Laboratory equipment; Laboratory consumables and reagents,,"Labclinics is a Spanish company devoted to marketing and distribution of lab supplies for research institutions and clinical diagnostic services. The company has five branches in Barcelona, Madrid, Malaga, Northwest, East and Portugal."
772,Labiana Life Sciences,"Terrassa, Barcelona",Biotechnology / R&amp;D Services,Other; CMO (Contract Manufacturing Organization),,"Labiana Life Sciences S.A is a pharmaceutical company which offers integrated services to pharmaceutical industries both in the human and in veterinarian health sectors. The company is structured in 2 companies, Labiana Life Sciences for the veterinary sector, and Labiana Pharmaceuticals for the human health sector."
773,Laboratoire d’Expertise Clinique Espagne (Labex),"Barcelona, Barcelona",Biotechnology / R&amp;D Services,Other,,"CRO for the evaluation of safety and efficacy of Cosmetic, Aesthetic and Dermopharmaceutical Products due to its experience, knowledge and quality. Research studies tailored to our customers in terms of in vivo and in vitro safety, efficacy, solar, consumer testing and sensory analysis."
774,Laboratoires Grand Fontaine,"Barcelona, Barcelona",Biotechnology - other,Food,,"Laboratoires Grand Fontaine is an international healthcare company specialized in investigating, developing and manufacturing adult medical nutrition products. The company offers a wide variety of products made from nutrients and ingredients, and designed to improve the health of patients and the elderly: high intake of proteins, essential vitamins and minerals, reduction of the glycemic index, reinforcement of the immune system and regulation of intestinal transit."
775,Laboratori DAU,"Barcelona, Barcelona",Supplier &amp; Engineering,Distributors,,DAU Laboratory provides specialized solutions in packaging-packaging services and secondary conditioning of cosmetic and pharmaceutical products.
776,Laboratori de cultius cel·lulars (UDL),"Lleida, Lleida",Public / Non-profit organizations / Medical facilities,Research facility,,"The Laboratori de cultius cel·lulars (UDL) (Laboratory cell cultures) is based on an experimental strategy widely used in the clinical field and to basic research, either to study the behavior of the animal-free cell control mechanisms homeostatic, for biochemistry and molecular characterization of various biological processes."
777,Laboratori de Genòmica Vegetal (UDL),"Lleida, Lleida",Public / Non-profit organizations / Medical facilities,Research facility,,"Laboratori de Genòmica Vegetal (UDL) focuses on carrying out studies of DNA and cereal reserve proteins, and also on the elaboration of determinations of aerial growth and rootstocks of cereals."
778,Laboratori de Referencia de Catalunya,"El Prat, Barcelona",Biotechnology / R&amp;D Services,Analytical services,,"Laboratori de Referència de Catalunya is a clinical reference laboratory. LRC offers in excess of 2,000 tests, ranging from routine screening tests to highly esoteric molecular assays."
779,Laboratori Dr. Ferrer,"Barcelona, Barcelona",Biotechnology / R&amp;D Services,Analytical services,,"Laboratori Dr. Ferrer is a clinical analysis laboratory which specialized in clinical analysis, extractions, water analysis and analysis of veterinary dogs and cats. The company also offers advice, clear and complete results reports, which include the reference values ​​and the attention calls in the pathological results."
780,Laboratori Estedi,"Barcelona, Barcelona",Pharma,Generics,,"Laboratorios Estedi is a pharmaceutical company which engaged in manufacture, marketing and distribution of pharmaceutical products for human consumption. The company offers products in dermatology, nervous system, respiratory, digestive, hormonal, etc."
781,Laboratori Europeu de Biologia Molecular (EMBL),"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,Institute,,"EMBL is Europe’s flagship laboratory for the life sciences – an intergovernmental organisation with more than 80 independent research groups covering the spectrum of molecular biology. EMBL's mission is to promote molecular biology research in Europe, training young scientists, and developing new technologies. EMBL’s scientific services encompass over 40 bioinformatics and data resources, and more than 20 experimental services in the fields of structural biology, imaging, genomics, proteomics, metabolomics, in vivo gene editing, and chemical biology. EMBL supports researchers in performing functional omics analyses, to better understand the genome, transcriptome, proteome, and metabolome. Scientists at EMBL Barcelona focus on tissue biology and disease modelling."
782,Laboratori OFICE,"Castellgalí, Barcelona",Biotechnology / R&amp;D Services,Analytical services,,"OFICE is a point of reference for the analysis and testing of wheat, flour and other cereals for bread making. The company is specialized in the areas of agrarian production and distribution, animal nutrition, human foodstuffs and the pharmaceutical industry."
783,Laboratorio de Análisis Dr. Echevarne,"Barcelona, Barcelona",Biotechnology / R&amp;D Services,Other; Analytical services; Diagnostic services,"Cardiovascular; Conditions related to perinatal period; Congenital or chromosomal abnormalities; Diseases of the nervous system; Endocrine,nutritional,metabolic diseases; Infectious and parasitic diseases; Injury, poisoning, other external causes; Mental and behavioural disorders; Neoplasms / cancer / oncology; Pregnancy, childbirth and the puerperium; Respiratory; Skin and subcutaneous tissue","Laboratorio Echevarne provides laboratory services in Europe, offering clinical analysis in the areas of biochemistry, hematology, genetics, clinical microbiology, toxicology-bioanalysis and esoteric testing, clinical trial studies for the pharmaceutical industry, pathology and cytology analysis, industrial analysis and veterinary medicine analysis. The company also offers laboratory diagnosis services that include allergy, image analysis, pathology and cytology, bioanalysis, pharmacokinetics, biochemistry, hematology, hormones, immunology, microbiology, virology, and molecular genetic test services for veterinary clinics, zoological parks, animal facilities, and related entities that work with different animal species."
784,Laboratorio de Aplicaciones Farmacodinamicas (Fardi),"Barcelona, Barcelona",Pharma,Other,Diseases of the eye; Diseases of the nervous system; Infectious and parasitic diseases; Respiratory,Laboratorios Especialidades Nacionales is a company focused on the manufacture of cosmetic and dermopharmaceutical products as well as in the sale of their range of podiatry products.
785,Laboratorio Jaer,"SANT VICENÇ DELS HORTS, Barcelona",Biotechnology - other,AgBio; Veterinary,,Laboratorio Jaer is a company dedicated to the production and commercialisation of veterinary products.
786,Laboratorio Quimifar,"Sant Cugat del Vallés, Barcelona",Pharma,Anti-infectives; Other,,"Laboratorio Quimifar is a pharmaceutical company offering specialties in the therapeutic fields of cardiovascular, antiulcerous, antiinfectious, anti-inflammatories and others. The products consists of two divisions, ethics division: which includes prescription drugs and OTC division: which includes advertising pharmaceutical specialties, health products, cosmetics, food supplements, etc."
787,Laboratorios Asderco,"Barcelona, Barcelona",Biotechnology - Therapeutics and Diagnostics,Generics,Skin and subcutaneous tissue,Laboratorios Asderco are dedicated in developing therapies for skin care and skin disorders and commercializes branded differentiated products for patients in America and Europe through own structure or strategic partners. Laboratorios Asderco markets a portfolio of products for the relief of symptomatology and/or cure of common and rare dermatologic diseases.
788,Laboratorios Calier,"PRAT DE LLOBREGAT, EL, Barcelona",Biotechnology - other,Veterinary,Cardiovascular; Diseases of the eye; Infectious and parasitic diseases; Respiratory; Skin and subcutaneous tissue,"Laboratorios Calier, S.A. is dedicated to the research, development, manufacture and commercialization of pharmacological and biological products for veterinary use in animal production and company. The company offer veterinarians and distributors around the world a wide range of treatments including acidifiers, antibiotics, anti-inflammatory, antimamitic, antiparasitic, biological, cardiac, dermatological, disinfectant, hormonal, drug premixes, sedatives and analgesics, nutritional supplements and regulators of the system digestive and respiratory."
789,Laboratorios Deiters,"Badalona, Barcelona",Biotechnology - other,Nutraceuticals,,"Laboratorios Deiters SL is a pharmaceutical company that develops a variety of phytotherapy products based on medicinal plants. The company's products from medicinal plants help to prevent and reduce possible imbalances in weight, cholesterol, digestive problems, blood circulation, defenses, or hormonal problems, among others."
790,Laboratorios Diafarm,"BARBERA DEL VALLES, Barcelona",Biotechnology - other,Nutraceuticals,"Digestive system; Musculoskeletal system,connective tissue; Skin and subcutaneous tissue","Laboratorios Diafarm is a pharmaceutical company that operates in the OTC market and pharmaceutical markets specializing in natural health solutions. The company's product categories include foot care, skin care, phytotherapy, oral care, herbal care, digestion, oral hygiene, emotional balance, joints, and intenstinal products."
791,Laboratorios Entema,"Palau-Solità i Plegamans, Barcelona",Biotechnology / R&amp;D Services,CMO (Contract Manufacturing Organization),,"Laboratorios Entema SL is a company engaged in contract manufacturing for cosmetic, health, nutritional and pharmaceutical products. The company designs, manufactures, and performs the primary and secondary packaging of products."
792,"Laboratorios ERN (HQ, Barcelona)","Barcelona, Barcelona",Pharma,Generics,"Digestive system; Other symptoms,deviant clinical findings","Laboratorios ERN S.A., is a pharmaceutical laboratory that manufactures and markets medicines. The company offers hospital and pediatric products in various therapeutic areas, including analgesics, anti-inflammatory, antipyretic, rehydration and digestive disorders, cardio-respiratory, deficiency states, antivirals, antibiotics, digestive, stomatological, and skin care. The company also provides contract manufacturing services; and engages in licensing in and licensing out activities. More recently, has started an Open Innovation program with the main objective to enhance innovation and research on the health sector."
793,Laboratorios Eurisko,"Barcelona, Barcelona",Biotechnology - other,Veterinary,,Laboratorios Eurisko is a pharmaceutical company specialized in veterinary and animal health products for use in the veterinary field. The company has a wide range of specialties covering the majorities of treating diseases.
794,Laboratorios Feltor,"Sant Celoni, Barcelona",Pharma,Generics; Other,Skin and subcutaneous tissue,"Laboratoris Feltor, S.A. develops cosmetics and pharmaceutical products. The company provides a range of personal care products such as lotions, baby cologne, gels, shampoo, liquid soap, moisturizers, sunscreen, ointments, lip balm, insect repellents, and mouthwash."
795,Laboratorios Inibsa,"LLIÇA DE VALL, Barcelona",Pharma,Other,Diseases of the nervous system; Genitourinary system,"Laboratorios Inibsa S.A. is a pharmaceutical group that provides products and services to health professionals in the fields of dentistry, anaesthetics, urology and gynaecology."
796,Laboratorios Karizoo,"CALDES DE MONTBUI, Barcelona",Biotechnology - other,Veterinary,,Laboratorios Karizoo is active in the production and distribution of products for nutrition and animal healthcare. The company offers technical advice and periodical follow ups of the herd with visits to the customers' farms.
797,Laboratorios Kin,"Barcelona, Barcelona",Pharma,Other,Digestive system,"Laboratorios Kin develops products that contribute to improve oral health, offering clients optimal solutions for patients and consumer's needs. The company's products include Ortho·Kin Mint, Ortho·Kin Silicone, Ortho·Kin Strawberry Mint, Perio·Kin, Sensi·Kin, SpongeBob, Whitekin, etc."
798,Laboratorios Leo Pharma,"Barcelona, Barcelona",Supplier &amp; Engineering,Distributors,,LEO Pharma is a global pharmaceutical company specialized in dermatology and thrombosis and engaged in the research and development of innovative medicines and customized solutions that improve the lives of patients.
799,"Laboratorios Lesvi (HQ, Barcelona)","Sant Joan Despi, Barcelona",Pharma,Anti-infectives; Generics,Diseases of the eye; Diseases of the nervous system; Genitourinary system; Infectious and parasitic diseases; Mental and behavioural disorders; Respiratory,"Laboratorios Lesvi is a subsidiary of Invent Farma, a group of vertically integrated companies which develops, produces and markets active pharmaceutical ingredients (API) and pharmaceutical products. The company focuses on the development, registration and manufacture of generic APIs with alternative synthesis procedures. The company also distribute their products through global partner alliances and market their products through commercial networks."
800,Laboratorios Leti,"Barcelona, Barcelona",Pharma,Small molecules; Vaccines; Molecular diagnostics,"Diseases of the blood, immune disorders; Infectious and parasitic diseases; Respiratory; Skin and subcutaneous tissue","Laboratorios LETI, S.L, a biopharmaceutical company, that researches and develops pharmaceutical products for allergy, dermatology, and immunology. The company manufactures allergenic extracts for in vivo diagnosis and etiological treatment of allergies; in vitro diagnosis products, culture media for assisted reproduction, and vaccines; skin care and other special personal care products; and laboratory equipment for in vitro diagnostics and research, software, and reagents."
801,Laboratorios Llorens,"Barcelona, Barcelona",Pharma,Generics,Diseases of the eye,"Laboratorios Llorens manufactures and commercializes medicines, health products and food supplements. The company offers products for ophthalmology, antihemorrhoids and anti-inflammatories. The company's products include ARTRINOVO, ARTRINOVO DÉBIL, etc."
802,"Laboratorios Ordesa (HQ, Sant Boi del Llobregat)","SANT BOI DE LLOBREGAT, Barcelona",Biotechnology - other,Food,,"Laboratorios Ordesa offers a wide range of baby food with all the nutritional properties. The company's products include Blemil plus 1 forte, Blemil plus 1 AE, Blemil plus 1 FH, Blemil plus 1 SL, Blemil plus 1 AR, Blemil plus 1 Arroz hidrolizado, etc."
803,Laboratorios Rovi,"Barcelona, Barcelona",Supplier &amp; Engineering,Distributors,,"Laboratorios Farmaceuticos Rovi, Barcelona's activities concentrate on pharmaceutical products, manufacturing for third parties and distribution of other products for which it holds a licence from other laboratories."
